id	kind	type	steps	lines	stdlib_n	stdlib_modules	levels	expandable	target_tier
vrr_detection	atomic	atomic	3	281	0	-	detail,summary	N	B
vsync_alignment_in_range	atomic	atomic	0	110	0	-	detail	N	B
vsync_config	atomic	atomic	1	138	1	android.frames.timeline	-	N	B
vsync_period_detection	atomic	atomic	1	177	1	android.frames.timeline	summary	N	B
vsync_phase_alignment	atomic	atomic	3	244	1	android.input	detail,summary	N	A
wakelock_tracking	atomic	atomic	4	275	0	-	detail,overview	N	B
webview_v8_analysis	atomic	atomic	4	288	1	android.frames.timeline	detail,overview	N	A
anr_analysis	composite	composite	12	884	2	android.anrs,android.binder	detail,hidden,key	N	S
anr_detail	composite	composite	13	795	3	android.binder,android.monitor_contention,linux.cpu.frequency	detail,hidden,key	N	S
binder_analysis	composite	composite	11	740	1	android.binder	detail,key,summary	N	S
binder_detail	composite	composite	6	381	0	-	hidden,key	N	S
block_io_analysis	composite	composite	8	558	1	linux.block_io	detail,summary	N	S
click_response_analysis	composite	composite	12	913	2	android.binder,android.input	detail,key,summary	N	S
click_response_detail	composite	composite	12	799	3	android.binder,android.input,linux.cpu.frequency	detail,hidden,key	N	S
cpu_analysis	composite	composite	14	959	2	linux.cpu.frequency,sched	detail,hidden,key,summary	N	S
dmabuf_analysis	composite	composite	8	621	1	android.memory.dmabuf	detail,summary	N	S
flutter_scrolling_analysis	composite	composite	6	442	1	android.frames.timeline	detail,summary	N	S
gc_analysis	composite	composite	8	743	2	android.frames,android.garbage_collection	detail,summary	N	S
gpu_analysis	composite	composite	8	699	2	android.gpu.frequency,android.gpu.memory	detail,summary	N	S
io_pressure	composite	composite	8	653	2	linux.threads,sched	detail,summary	N	S
irq_analysis	composite	composite	10	695	1	linux.cpu.irq	detail,key,summary	N	S
jank_frame_detail	composite	composite	27	2050	5	android.binder,android.garbage_collection,android.gpu.frequency,android.monitor_contention,android.slices	detail,hidden,key	N	S
lmk_analysis	composite	composite	8	625	2	android.memory.lmk,linux.memory.general	detail,summary	N	S
lock_contention_analysis	composite	composite	10	712	1	android.monitor_contention	detail,key,summary	N	S
memory_analysis	composite	composite	11	717	0	-	detail,hidden,key,summary	N	S
navigation_analysis	composite	composite	13	900	1	android.binder	detail,key	N	S
network_analysis	composite	composite	13	759	1	android.network_packets	detail,key	N	S
scene_reconstruction	composite	composite	25	2787	7	android.anrs,android.battery_stats,android.binder,android.frames.timeline,android.input,android.screen_state,android.startup.startups	detail,hidden,summary	N	S
scroll_session_analysis	composite	composite	6	495	0	-	detail,key,summary	N	S
scrolling_analysis	composite	composite	18	3288	4	android.binder,android.frames.timeline,android.garbage_collection,android.monitor_contention	detail,hidden,summary	N	S
startup_analysis	composite	composite	15	1165	4	android.binder,android.startup.startup_breakdowns,android.startup.startups,android.startup.time_to_display	detail,key	N	S
startup_detail	composite	composite	20	1332	4	android.binder,android.startup.startups,linux.cpu.frequency,sched	detail,hidden,key	N	S
state_timeline	composite	composite	9	1020	3	android.battery_stats,android.input,android.screen_state	detail,hidden,summary	N	S
surfaceflinger_analysis	composite	composite	10	807	1	android.frames.timeline	detail,summary	N	S
suspend_wakeup_analysis	composite	composite	13	696	1	android.suspend	detail,key	N	S
thermal_throttling	composite	composite	13	963	0	-	detail,key,summary	N	S
callstack_analysis	deep	deep	6	435	1	stack_profile	2,detail,summary	N	S
cpu_profiling	deep	deep	8	621	2	linux.cpu.frequency,sched	2,detail,summary	N	S
