id	kind	type	lines	steps	stdlib_n	stdlib_modules	levels	expandable
wakelock_tracking	atomic	atomic	275	4	0	-	detail,overview	N
webview_v8_analysis	atomic	atomic	288	4	1	android.frames.timeline	detail,overview	N
anr_analysis	composite	composite	884	12	2	android.anrs,android.binder	detail,hidden,key	N
anr_detail	composite	composite	795	13	3	android.binder,android.monitor_contention,linux.cpu.frequency	detail,hidden,key	N
binder_analysis	composite	composite	740	11	1	android.binder	detail,key,summary	N
binder_detail	composite	composite	381	6	0	-	hidden,key	N
block_io_analysis	composite	composite	558	8	1	linux.block_io	detail,summary	N
click_response_analysis	composite	composite	913	12	2	android.binder,android.input	detail,key,summary	N
click_response_detail	composite	composite	799	12	3	android.binder,android.input,linux.cpu.frequency	detail,hidden,key	N
cpu_analysis	composite	composite	959	14	2	linux.cpu.frequency,sched	detail,hidden,key,summary	N
dmabuf_analysis	composite	composite	621	8	1	android.memory.dmabuf	detail,summary	N
flutter_scrolling_analysis	composite	composite	442	6	1	android.frames.timeline	detail,summary	N
gc_analysis	composite	composite	743	8	2	android.frames,android.garbage_collection	detail,summary	N
gpu_analysis	composite	composite	699	8	2	android.gpu.frequency,android.gpu.memory	detail,summary	N
io_pressure	composite	composite	653	8	2	linux.threads,sched	detail,summary	N
irq_analysis	composite	composite	695	10	1	linux.cpu.irq	detail,key,summary	N
jank_frame_detail	composite	composite	2050	27	5	android.binder,android.garbage_collection,android.gpu.frequency,android.monitor_contention,android.slices	detail,hidden,key	N
lmk_analysis	composite	composite	625	8	2	android.memory.lmk,linux.memory.general	detail,summary	N
lock_contention_analysis	composite	composite	712	10	1	android.monitor_contention	detail,key,summary	N
memory_analysis	composite	composite	717	11	0	-	detail,hidden,key,summary	N
navigation_analysis	composite	composite	900	13	1	android.binder	detail,key	N
network_analysis	composite	composite	759	13	1	android.network_packets	detail,key	N
scene_reconstruction	composite	composite	2787	25	7	android.anrs,android.battery_stats,android.binder,android.frames.timeline,android.input,android.screen_state,android.startup.startups	detail,hidden,summary	N
scroll_session_analysis	composite	composite	495	6	0	-	detail,key,summary	N
scrolling_analysis	composite	composite	3288	18	4	android.binder,android.frames.timeline,android.garbage_collection,android.monitor_contention	detail,hidden,summary	N
startup_analysis	composite	composite	1165	15	4	android.binder,android.startup.startup_breakdowns,android.startup.startups,android.startup.time_to_display	detail,key	N
startup_detail	composite	composite	1332	20	4	android.binder,android.startup.startups,linux.cpu.frequency,sched	detail,hidden,key	N
state_timeline	composite	composite	1020	9	3	android.battery_stats,android.input,android.screen_state	detail,hidden,summary	N
surfaceflinger_analysis	composite	composite	807	10	1	android.frames.timeline	detail,summary	N
suspend_wakeup_analysis	composite	composite	696	13	1	android.suspend	detail,key	N
thermal_throttling	composite	composite	963	13	0	-	detail,key,summary	N
callstack_analysis	deep	deep	435	6	1	stack_profile	2,detail,summary	N
cpu_profiling	deep	deep	621	8	2	linux.cpu.frequency,sched	2,detail,summary	N
